concept_id,source_type,source,source_name,field_name,raw_metadata,description
pampers_loyalty_points_change_fact_points_activated_datetime,EVENT,pampers_loyalty_points_change_fact,积分变化时间,points_activated_datetime,"{""desc"": ""积分变化时间"", ""type"": ""Date""}","这是一个来源为EVENT，名为""积分变化时间""的下的属性字段，名为points_activated_datetime。它的含义是""积分变化时间""。可选值为：无"
pampers_loyalty_points_change_fact_one_id,EVENT,pampers_loyalty_points_change_fact,one_id,one_id,"{""desc"": ""one_id"", ""type"": ""String""}","这是一个来源为EVENT，名为""one_id""的下的属性字段，名为one_id。它的含义是""one_id""。可选值为：无"
pampers_loyalty_points_change_fact_s_member_id,EVENT,pampers_loyalty_points_change_fact,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_loyalty_points_change_fact_member_id,EVENT,pampers_loyalty_points_change_fact,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_loyalty_points_change_fact_points_type,EVENT,pampers_loyalty_points_change_fact,积分类型,points_type,"{""desc"": ""积分类型"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""积分类型""的下的属性字段，名为points_type。它的含义是""积分类型""。可选值为：ADD_POINT_BY_CLIENT,ADJUST_POINT_BY_CLIENT,ADJUST_POINT_BY_YOUZAN_V1,BATCH_WOMEN_DAY_2020,BBS_LUCKY_DRAW_1000,BBS_LUCKY_DRAW_200,BBS_LUCKY_DRAW_50,BBS_LUCKY_DRAW_500,COMPLETE_PROFILE,DISTRIBUTION_POINT,DONATION,DRAW_COMPENSTION,EBOOK_REDEMPTION,ECOM_INCREASE,EXTEND_POINT_BY_CEM,FLIP_LOTTERY,FLIP_WIN,FLIP_WIN_5,HEARTBEAT_DRAW,IMPROVE_BABY_BIRTHDAY_ADD_POINT,JD_LUCKY_DRAW_BURN_201911,JD_LUCKY_DRAW_BURN_202101,JD_LUCKY_DRAW_EARN_201910,JD_LUCKY_DRAW_EARN_201911,LIKE_STORE,LUCKY_DRAW,LUCKY_POINT,MANUAL_ADJUSTMENT,MARK_STORE,MEMBER_INTERACTION_CENTER,ORDER_ADD_POINT,ORDER_DOUBLE_BY_LING_GOU,PAID_MEMBER,PAMPERS_FIRST_SCAN,PAMPERS_H5_COUPON,PAMPERS_H5_COUPON_RETURN_POINT,PAMPERS_HISTORY_DATA,PAMPERS_LOTTERY_200,PAMPERS_LOTTERY_50,POINTS_LUCKYDRAW,REDEMPTION,REDEMPTION_CANCEL,REDUCE_POINT_BY_CLIENT,REGISTER,ROTARY_DRAW,SCAN_CODE,SYSTEM_EXPIRED_POINT,TMALL_DAILY_ATTENDANCE,TMALL_LIKE_STORE,WECHAT_DAILY_ATTENDANCE,WECHAT_DAILY_CHECK_IN"
pampers_loyalty_points_redeem_gift_fact_redeem_datetime,EVENT,pampers_loyalty_points_redeem_gift_fact,核销时间,redeem_datetime,"{""desc"": ""核销时间"", ""type"": ""Date""}","这是一个来源为EVENT，名为""核销时间""的下的属性字段，名为redeem_datetime。它的含义是""核销时间""。可选值为：无"
pampers_loyalty_points_redeem_gift_fact_one_id,EVENT,pampers_loyalty_points_redeem_gift_fact,one_id,one_id,"{""desc"": ""one_id"", ""type"": ""String""}","这是一个来源为EVENT，名为""one_id""的下的属性字段，名为one_id。它的含义是""one_id""。可选值为：无"
pampers_loyalty_points_redeem_gift_fact_s_member_id,EVENT,pampers_loyalty_points_redeem_gift_fact,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员唯一ID""的下的属性字段，名为s_member_id。它的含义是""会员唯一ID""。可选值为：无"
pampers_loyalty_points_redeem_gift_fact_member_id,EVENT,pampers_loyalty_points_redeem_gift_fact,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为EVENT，名为""会员ID""的下的属性字段，名为member_id。它的含义是""会员ID""。可选值为：无"
pampers_loyalty_points_redeem_gift_fact_points_redeem_id,EVENT,pampers_loyalty_points_redeem_gift_fact,核销主键,points_redeem_id,"{""desc"": ""核销主键"", ""type"": ""String""}","这是一个来源为EVENT，名为""核销主键""的下的属性字段，名为points_redeem_id。它的含义是""核销主键""。可选值为：无"
pampers_loyalty_points_redeem_gift_fact_brand_id,EVENT,pampers_loyalty_points_redeem_gift_fact,品牌名称,brand_id,"{""desc"": ""品牌名称"", ""type"": ""Enum""}","这是一个来源为EVENT，名为""品牌名称""的下的属性字段，名为brand_id。它的含义是""品牌名称""。可选值为：Pampers(Pampers),3"
pampers_loyalty_points_redeem_gift_fact_pickup_actual_store_id,EVENT,pampers_loyalty_points_redeem_gift_fact,实际领取门店编号,pickup_actual_store_id,"{""desc"": ""实际领取门店编号"", ""type"": ""String""}","这是一个来源为EVENT，名为""实际领取门店编号""的下的属性字段，名为pickup_actual_store_id。它的含义是""实际领取门店编号""。可选值为：无"
