concept_id,source_type,source,source_name,field_name,raw_metadata,description
pampers_customer_s_member_id,PROFILE,pampers_customer,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员唯一ID""的下的属性字段，名为""s_member_id""。它的含义是""会员唯一ID""。可选值为：无"
pampers_customer_one_id,PROFILE,pampers_customer,PG_oneid,one_id,"{""desc"": ""PG_oneid"", ""type"": ""String""}","这是一个来源为PROFILE，名为""PG_oneid""的下的属性字段，名为""one_id""。它的含义是""PG_oneid""。可选值为：无"
pampers_customer_member_id,PROFILE,pampers_customer,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员ID""的下的属性字段，名为""member_id""。它的含义是""会员ID""。可选值为：无"
pampers_customer_name,PROFILE,pampers_customer,会员姓名,name,"{""desc"": ""会员姓名"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员姓名""的下的属性字段，名为""name""。它的含义是""会员姓名""。可选值为：无"
pampers_customer_birthday,PROFILE,pampers_customer,生日,birthday,"{""desc"": ""生日"", ""type"": ""String""}","这是一个来源为PROFILE，名为""生日""的下的属性字段，名为""birthday""。它的含义是""生日""。可选值为：无"
pampers_customer_ma_mobile,PROFILE,pampers_customer,手机号,ma_mobile,"{""desc"": ""手机号"", ""type"": ""String""}","这是一个来源为PROFILE，名为""手机号""的下的属性字段，名为""ma_mobile""。它的含义是""手机号""。可选值为：无"
pampers_customer_mobile_status,PROFILE,pampers_customer,是否明文手机号,mobile_status,"{""desc"": ""是否明文手机号"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""是否明文手机号""的下的属性字段，名为""mobile_status""。它的含义是""是否明文手机号""。可选值为：无"
pampers_customer_unionid,PROFILE,pampers_customer,UnionID,unionid,"{""desc"": ""UnionID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""UnionID""的下的属性字段，名为""unionid""。它的含义是""UnionID""。可选值为：无"
pampers_customer_tier,PROFILE,pampers_customer,会员等级,tier,"{""desc"": ""会员等级"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员等级""的下的属性字段，名为""tier""。它的含义是""会员等级""。可选值为：无"
pampers_customer_tier_expiry_date,PROFILE,pampers_customer,当前等级到期日期_MA勿用,tier_expiry_date,"{""desc"": ""当前等级到期日期_MA勿用"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""当前等级到期日期_MA勿用""的下的属性字段，名为""tier_expiry_date""。它的含义是""当前等级到期日期_MA勿用""。可选值为：无"
pampers_customer_tier_join_date,PROFILE,pampers_customer,当前等级加入日期,tier_join_date,"{""desc"": ""当前等级加入日期"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""当前等级加入日期""的下的属性字段，名为""tier_join_date""。它的含义是""当前等级加入日期""。可选值为：无"
pampers_customer_loyalty_point,PROFILE,pampers_customer,会员积分余额_MA勿用,loyalty_point,"{""desc"": ""会员积分余额_MA勿用"", ""type"": ""Int""}","这是一个来源为PROFILE，名为""会员积分余额_MA勿用""的下的属性字段，名为""loyalty_point""。它的含义是""会员积分余额_MA勿用""。可选值为：无"
pampers_customer_life_time_point,PROFILE,pampers_customer,会员累计获得积分_MA勿用,life_time_point,"{""desc"": ""会员累计获得积分_MA勿用"", ""type"": ""Int""}","这是一个来源为PROFILE，名为""会员累计获得积分_MA勿用""的下的属性字段，名为""life_time_point""。它的含义是""会员累计获得积分_MA勿用""。可选值为：无"
pampers_customer_province_id,PROFILE,pampers_customer,会员注册省份,province_id,"{""desc"": ""会员注册省份"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册省份""的下的属性字段，名为""province_id""。它的含义是""会员注册省份""。可选值为：无"
pampers_customer_city_id,PROFILE,pampers_customer,会员注册城市,city_id,"{""desc"": ""会员注册城市"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册城市""的下的属性字段，名为""city_id""。它的含义是""会员注册城市""。可选值为：无"
pampers_customer_mobile_contact_sms_status,PROFILE,pampers_customer,短信联系状态,mobile_contact_sms_status,"{""desc"": ""短信联系状态"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""短信联系状态""的下的属性字段，名为""mobile_contact_sms_status""。它的含义是""短信联系状态""。可选值为：无"
pampers_customer_reg_date,PROFILE,pampers_customer,会员注册日期,reg_date,"{""desc"": ""会员注册日期"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""会员注册日期""的下的属性字段，名为""reg_date""。它的含义是""会员注册日期""。可选值为：无"
pampers_customer_reg_brand_id,PROFILE,pampers_customer,会员注册来源品牌,reg_brand_id,"{""desc"": ""会员注册来源品牌"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源品牌""的下的属性字段，名为""reg_brand_id""。它的含义是""会员注册来源品牌""。可选值为：无"
pampers_customer_reg_source_channel_id,PROFILE,pampers_customer,会员注册来源渠道,reg_source_channel_id,"{""desc"": ""会员注册来源渠道"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源渠道""的下的属性字段，名为""reg_source_channel_id""。它的含义是""会员注册来源渠道""。可选值为：无"
pampers_customer_reg_store_id,PROFILE,pampers_customer,会员注册来源门店,reg_store_id,"{""desc"": ""会员注册来源门店"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源门店""的下的属性字段，名为""reg_store_id""。它的含义是""会员注册来源门店""。可选值为：无"
pampers_customer_reg_source,PROFILE,pampers_customer,会员注册来源名称,reg_source,"{""desc"": ""会员注册来源名称"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源名称""的下的属性字段，名为""reg_source""。它的含义是""会员注册来源名称""。可选值为：无"
pampers_customer_reg_customer,PROFILE,pampers_customer,会员注册来源客户,reg_customer,"{""desc"": ""会员注册来源客户"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源客户""的下的属性字段，名为""reg_customer""。它的含义是""会员注册来源客户""。可选值为：无"
pampers_customer_age_agr,PROFILE,pampers_customer,年龄段,age_agr,"{""desc"": ""年龄段"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""年龄段""的下的属性字段，名为""age_agr""。它的含义是""年龄段""。可选值为：无"
pampers_customer_gender_agr,PROFILE,pampers_customer,性别,gender_agr,"{""desc"": ""性别"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""性别""的下的属性字段，名为""gender_agr""。它的含义是""性别""。可选值为：无"
pampers_customer_s_member_id,PROFILE,pampers_customer,会员唯一ID,s_member_id,"{""desc"": ""会员唯一ID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员唯一ID""的下的属性字段，名为""s_member_id""。它的含义是""会员唯一ID""。可选值为：无"
pampers_customer_one_id,PROFILE,pampers_customer,PG_oneid,one_id,"{""desc"": ""PG_oneid"", ""type"": ""String""}","这是一个来源为PROFILE，名为""PG_oneid""的下的属性字段，名为""one_id""。它的含义是""PG_oneid""。可选值为：无"
pampers_customer_member_id,PROFILE,pampers_customer,会员ID,member_id,"{""desc"": ""会员ID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员ID""的下的属性字段，名为""member_id""。它的含义是""会员ID""。可选值为：无"
pampers_customer_name,PROFILE,pampers_customer,会员姓名,name,"{""desc"": ""会员姓名"", ""type"": ""String""}","这是一个来源为PROFILE，名为""会员姓名""的下的属性字段，名为""name""。它的含义是""会员姓名""。可选值为：无"
pampers_customer_birthday,PROFILE,pampers_customer,生日,birthday,"{""desc"": ""生日"", ""type"": ""String""}","这是一个来源为PROFILE，名为""生日""的下的属性字段，名为""birthday""。它的含义是""生日""。可选值为：无"
pampers_customer_ma_mobile,PROFILE,pampers_customer,手机号,ma_mobile,"{""desc"": ""手机号"", ""type"": ""String""}","这是一个来源为PROFILE，名为""手机号""的下的属性字段，名为""ma_mobile""。它的含义是""手机号""。可选值为：无"
pampers_customer_mobile_status,PROFILE,pampers_customer,是否明文手机号,mobile_status,"{""desc"": ""是否明文手机号"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""是否明文手机号""的下的属性字段，名为""mobile_status""。它的含义是""是否明文手机号""。可选值为：否,是"
pampers_customer_unionid,PROFILE,pampers_customer,UnionID,unionid,"{""desc"": ""UnionID"", ""type"": ""String""}","这是一个来源为PROFILE，名为""UnionID""的下的属性字段，名为""unionid""。它的含义是""UnionID""。可选值为：无"
pampers_customer_tier,PROFILE,pampers_customer,会员等级,tier,"{""desc"": ""会员等级"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员等级""的下的属性字段，名为""tier""。它的含义是""会员等级""。可选值为：DEFAULT,ML_PAMPERS_2,ML_PAMPERS_3,ML_PAMPERS_4,ML_PAMPERS_DEFAULT"
pampers_customer_tier_expiry_date,PROFILE,pampers_customer,当前等级到期日期_MA勿用,tier_expiry_date,"{""desc"": ""当前等级到期日期_MA勿用"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""当前等级到期日期_MA勿用""的下的属性字段，名为""tier_expiry_date""。它的含义是""当前等级到期日期_MA勿用""。可选值为：无"
pampers_customer_tier_join_date,PROFILE,pampers_customer,当前等级加入日期,tier_join_date,"{""desc"": ""当前等级加入日期"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""当前等级加入日期""的下的属性字段，名为""tier_join_date""。它的含义是""当前等级加入日期""。可选值为：无"
pampers_customer_loyalty_point,PROFILE,pampers_customer,会员积分余额_MA勿用,loyalty_point,"{""desc"": ""会员积分余额_MA勿用"", ""type"": ""Int""}","这是一个来源为PROFILE，名为""会员积分余额_MA勿用""的下的属性字段，名为""loyalty_point""。它的含义是""会员积分余额_MA勿用""。可选值为：无"
pampers_customer_life_time_point,PROFILE,pampers_customer,会员累计获得积分_MA勿用,life_time_point,"{""desc"": ""会员累计获得积分_MA勿用"", ""type"": ""Int""}","这是一个来源为PROFILE，名为""会员累计获得积分_MA勿用""的下的属性字段，名为""life_time_point""。它的含义是""会员累计获得积分_MA勿用""。可选值为：无"
pampers_customer_province_id,PROFILE,pampers_customer,会员注册省份,province_id,"{""desc"": ""会员注册省份"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册省份""的下的属性字段，名为""province_id""。它的含义是""会员注册省份""。可选值为：北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区,台湾省,香港,澳门"
pampers_customer_city_id,PROFILE,pampers_customer,会员注册城市,city_id,"{""desc"": ""会员注册城市"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册城市""的下的属性字段，名为""city_id""。它的含义是""会员注册城市""。可选值为：北京市,天津市,石家庄市,唐山市,秦皇岛市,邯郸市,邢台市,保定市,定州市,张家口市,承德市,沧州市,廊坊市,衡水市,太原市,大同市,阳泉市,长治市,晋城市,朔州市,晋中市,运城市,忻州市,临汾市,吕梁市,呼和浩特市,包头市,乌海市,赤峰市,通辽市,鄂尔多斯市,呼伦贝尔市,巴彦淖尔市,乌兰察布市,兴安盟,锡林郭勒盟,阿拉善盟,沈阳市,大连市,鞍山市,抚顺市,本溪市,丹东市,锦州市,营口市,阜新市,辽阳市,盘锦市,铁岭市,朝阳市,葫芦岛市,长春市,吉林市,四平市,辽源市,通化市,白山市,松原市,白城市,延边朝鲜族自治州,哈尔滨市,齐齐哈尔市,鸡西市,鹤岗市,双鸭山市,大庆市,伊春市,佳木斯市,七台河市,牡丹江市,黑河市,绥化市,大兴安岭地区,上海市,南京市,无锡市,徐州市,常州市,苏州市,南通市,连云港市,淮安市,盐城市,扬州市,镇江市,泰州市,宿迁市,杭州市,宁波市,温州市,嘉兴市,湖州市,绍"
pampers_customer_mobile_contact_sms_status,PROFILE,pampers_customer,短信联系状态,mobile_contact_sms_status,"{""desc"": ""短信联系状态"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""短信联系状态""的下的属性字段，名为""mobile_contact_sms_status""。它的含义是""短信联系状态""。可选值为：否,是"
pampers_customer_reg_date,PROFILE,pampers_customer,会员注册日期,reg_date,"{""desc"": ""会员注册日期"", ""type"": ""Date""}","这是一个来源为PROFILE，名为""会员注册日期""的下的属性字段，名为""reg_date""。它的含义是""会员注册日期""。可选值为：无"
pampers_customer_reg_brand_id,PROFILE,pampers_customer,会员注册来源品牌,reg_brand_id,"{""desc"": ""会员注册来源品牌"", ""type"": ""Enum""}","这是一个来源为PROFILE，名为""会员注册来源品牌""的下的属性字段，名为""reg_brand_id""。它的含义是""会员注册来源品牌""。可选值为：Pampers(Pampers)"
